h2,ch4,c2h6,c2h4,c2h2,fault
85.87,7.01,4.49,2.64,0.0001,1.0
21.0,14.0,191.0,90.0,0.0001,4.0
156.0,240.0,54.0,399.0,0.98,6.0
65.2,20.0,3.9,8.13,25.1,2.0
8.0,16.0,88.0,7.0,0.001,4.0
137.0,67.0,7.0,53.0,104.0,3.0
2091.0,149.0,20.0,3.0,0.001,1.0
106.0,4.0,2.0,1.0,0.001,1.0
160.0,130.0,33.0,96.0,0.1,5.0
54.9,8.8,80.0,2.5,0.001,4.0
173.0,334.0,172.0,812.5,37.7,6.0
23.0,63.0,54.0,10.0,0.3,2.0
10092.0,5399.0,530.0,6500.0,37565.0,2.0
0.0001,0.0001,9.0,57.0,0.0001,6.0
545.0,130.0,16.0,153.0,239.0,3.0
980.0,73.0,58.0,12.0,0.0001,1.0
0.001,0.001,0.001,142.0,0.001,6.0
122.0,161.0,271.0,35.0,0.0001,4.0
345.0,112.3,27.5,51.5,58.8,2.0
166.0,21.0,38.0,6.0,0.0001,1.0
345.0,112.3,27.5,51.5,58.8,2.0
245.0,120.0,18.0,131.0,167.0,3.0
54.9,8.8,80.0,2.5,0.0001,4.0
43.0,28.0,72.0,9.0,0.001,4.0
890.0,110.0,3.0,84.0,700.0,1.0
119.0,670.0,286.0,934.0,19.0,5.0
30.4,117.0,44.2,138.0,0.1,5.0
1330.0,10.0,20.0,66.0,182.0,2.0
84.0,6.0,1.0,14.0,86.0,3.0
1249.0,370.0,56.0,606.0,1371.0,3.0
152.0,32.0,28.0,55.0,0.0001,5.0
629.0,402.0,16.0,298.0,1127.0,3.0
43.0,19.0,3.0,0.001,40.0,3.0
117.0,17.0,1.0,3.0,1.0,1.0
16.0,80.0,134.0,10.0,0.0001,4.0
8.0,16.0,88.0,7.0,0.001,4.0
107.0,143.0,34.0,222.0,2.0,6.0
40280.0,1069.0,1060.0,1.0,1.0,1.0
360.0,610.0,259.0,260.0,9.0,5.0
33.0,29.0,9.0,12.0,0.0001,4.0
144.0,1672.0,394.0,669.0,0.0001,5.0
113.0,21.0,48.0,0.0001,4.0,1.0
2.0,5.0,81.0,172.0,0.0001,5.0
650.0,53.0,35.0,20.0,0.001,1.0
116.0,14.0,134.0,5.3,0.001,1.0
60.0,5.0,1.0,6.0,29.0,1.0
115.0,129.0,316.0,36.0,0.001,4.0
137.0,279.0,66.0,505.0,0.001,6.0
60.0,5.0,2.0,21.0,32.0,3.0
57.0,15.0,3.1,23.0,25.3,3.0
25.0,9.0,6.0,5.0,44.0,3.0
160.0,10.0,3.0,1.0,1.0,1.0
24.0,80.0,258.0,741.0,6.0,5.0
2500.0,10500.0,4790.0,13500.0,6.0,6.0
111.7,19.4,104.1,6.4,3.8,1.0
88.7,460.8,94.9,184.6,18.3,5.0
220.0,77.0,22.0,170.0,240.0,3.0
179.0,29.0,10.0,17.0,33.0,2.0
6.0,2990.0,29990.0,26076.0,67.0,6.0
26.0,398.0,85.0,319.0,0.0001,5.0
160.0,24.7,38.5,0.001,0.001,1.0
35.0,11.0,0.001,7.0,146.0,3.0
109.0,16.0,0.0001,0.0001,0.0001,1.0
102.0,6.0,6.0,7.0,10.0,2.0
86.0,277.0,63.0,338.0,0.001,6.0
4419.0,3564.0,668.0,2861.0,2025.0,3.0
5.0,14.0,234.0,5.0,0.001,4.0
2240.0,157.0,90.0,45.0,45.0,1.0
1549.2,10.2,0.0001,53.19,0.0001,1.0
122.0,161.0,271.0,35.0,0.001,4.0
23.0,6.0,172.0,23.0,31.0,4.0
24.0,80.0,258.0,741.0,6.0,5.0
1100.0,1600.0,221.0,2010.0,26.0,6.0
112.0,68.0,136.0,9.0,0.0001,4.0
179.0,29.0,10.0,17.0,33.0,2.0
62.0,425.0,276.0,651.0,26.0,5.0
27.0,49.0,192.0,9.0,0.001,4.0
35.0,283.0,121.0,222.0,0.001,5.0
127.0,107.0,11.0,154.0,224.0,3.0
27.0,90.0,42.0,63.0,0.2,5.0
16000.0,4000.0,500.0,8500.0,16000.0,1.0
2587.2,112.25,4.704,1.4,0.0001,1.0
166.0,21.0,38.0,6.0,0.001,1.0
50.0,274.0,95.0,320.0,6.3,5.0
19.0,47.0,27.0,62.0,0.0001,5.0
55.0,159.0,114.0,493.0,0.001,6.0
48.0,40.0,11.0,0.5,0.0001,4.0
87.0,34.0,23.0,15.0,60.0,3.0
980.0,73.0,58.0,12.0,0.001,1.0
16.0,80.0,134.0,10.0,0.001,4.0
10.0,26.0,147.0,6.0,0.001,4.0
24.0,80.0,258.0,741.0,6.0,5.0
305.0,85.0,25.0,197.0,130.0,3.0
385.0,28.8,50.0,82.3,171.0,2.0
20.0,132.0,61.0,17.0,0.001,4.0
109.0,4.0,11.0,9.0,0.0001,1.0
36.0,30.0,10.0,93.0,7.1,6.0
95.0,110.0,160.0,50.0,0.001,4.0
27.0,30.0,23.0,2.4,0.1,4.0
0.001,215.0,555.0,18.4,0.001,4.0
27.0,28.0,136.0,8.0,0.001,4.0
183.0,6.0,0.001,5.0,0.001,1.0
208.0,7.6,27.5,9.7,14.4,2.0
134.0,13.0,267.0,0.001,0.001,1.0
25.0,28.0,27.0,15.0,80.0,3.0
41.0,16.0,19.0,58.0,106.0,3.0
181.0,262.0,41.0,28.0,0.001,4.0
62.0,425.0,276.0,651.0,26.0,5.0
14.0,14.0,124.0,7.0,1.0,4.0
18.0,63.0,20.0,51.0,0.001,5.0
46.0,20.0,14.0,10.0,42.0,3.0
6600.0,1000.0,38.0,2.0,19.0,1.0
85.0,98.0,315.0,30.0,0.001,4.0
181.0,262.0,41.0,28.0,0.001,4.0
716.0,7.1,33.0,20.0,6.8,2.0
40280.0,1069.0,1060.0,1.0,1.0,1.0
10.0,63.0,176.0,35.0,0.0001,4.0
0.001,0.001,0.001,142.0,0.001,6.0
2.0,41.0,133.0,9.0,21.0,3.0
843.0,133.0,12.0,168.0,385.0,2.0
500.0,97.0,193.0,40.0,121.0,2.0
1.0,8.0,8.0,100.0,6.0,6.0
200.0,700.0,250.0,740.0,1.0,5.0
260.0,215.0,35.0,334.0,277.0,3.0
130.0,140.0,2.0,120.0,0.0001,4.0
0.7,1.5,0.3,1.8,0.0001,5.0
17.0,40.0,11.0,86.0,0.001,6.0
200.0,700.0,250.0,740.0,1.0,5.0
127.0,24.0,0.001,32.0,81.0,3.0
6.0,197.0,476.9,16.9,0.001,4.0
38.0,38.0,296.0,14.0,0.001,4.0
78.0,20.0,11.0,13.0,28.0,2.0
210.0,43.0,12.0,102.0,187.0,3.0
24.0,78.0,266.0,779.0,7.0,5.0
320.0,131.0,187.0,127.0,0.001,4.0
176.0,205.9,47.7,75.7,68.7,3.0
385.0,60.0,8.0,53.0,159.0,2.0
66.0,60.0,2.0,7.0,0.0001,4.0
176.0,205.9,47.7,75.7,68.7,3.0
300.0,490.0,180.0,360.0,95.0,5.0
10.0,63.0,176.0,35.0,0.001,4.0
89.0,281.0,145.0,1216.0,22.0,6.0
24.0,20.0,4.0,87.0,0.0001,6.0
4.0,88.0,213.0,14.0,35.0,3.0
26788.0,18342.0,2111.0,27.0,0.001,1.0
74.8,30.1,82.3,13.6,0.001,4.0
59.0,119.0,36.0,70.0,0.001,5.0
180.0,175.0,75.0,50.0,4.0,5.0
0.001,153.0,130.0,677.0,13.0,6.0
19.0,47.0,27.0,62.0,0.001,5.0
31.0,56.0,33.0,77.0,0.001,5.0
507.0,1053.0,297.0,1440.0,17.0,5.0
43.0,116.0,65.0,139.0,0.001,5.0
620.0,325.0,38.0,181.0,244.0,3.0
26.0,398.0,85.0,319.0,0.001,5.0
116.0,14.0,134.0,5.3,0.0001,1.0
31.0,63.0,246.0,714.0,7.0,5.0
7.0,31.0,23.0,148.0,0.001,6.0
1549.2,10.2,0.001,53.19,0.001,1.0
310.0,230.0,54.0,610.0,760.0,3.0
2800.0,2800.0,234.0,3500.0,3600.0,3.0
0.0001,3.4,0.0001,54.0,0.0001,6.0
10.0,56.0,72.0,70.0,0.001,4.0
34.0,0.0001,0.0001,0.0001,44.0,3.0
128.0,419.0,269.5,614.1,0.35,5.0
0.001,100.0,309.0,1365.0,7.0,6.0
8200.0,3790.0,250.0,4620.0,5830.0,3.0
121.0,3.0,1.0,0.0001,0.0001,1.0
0.001,0.001,9.0,57.0,0.001,6.0
629.0,402.0,16.0,298.0,1127.0,3.0
176.0,652.9,47.7,75.7,68.7,2.0
235.46,333.59,177.52,1201.85,148.87,3.0
31.0,56.0,33.0,77.0,0.001,5.0
50.0,274.0,95.0,320.0,6.3,5.0
106.0,4.0,2.0,1.0,0.001,1.0
36.0,21.0,65.0,2.0,0.001,4.0
0.001,153.0,130.0,677.0,13.0,6.0
92600.0,10200.0,0.001,0.001,0.001,1.0
27.0,90.0,42.0,63.0,0.2,5.0
818.0,94.0,49.0,121.0,978.0,2.0
0.0001,4.9,81.0,172.0,0.0001,5.0
3675.0,6392.0,2500.0,7691.0,5.0,6.0
78.0,66.0,283.0,2.6,0.0001,4.0
45.0,125.0,111.0,25.0,0.001,4.0
595.0,32.0,4.0,18.0,65.0,2.0
625.0,130.0,47.0,2.0,0.0001,4.0
5.0,14.0,234.0,5.0,0.001,4.0
95.0,10.0,0.0001,11.0,39.0,2.0
88.5,22.8,108.4,12.0,7.5,3.0
151.0,13.5,50.7,5.0,9.2,2.0
25.0,29.0,137.0,8.0,0.001,4.0
39.0,7.0,12.0,65.0,0.001,6.0
109.0,4.0,11.0,9.0,0.001,1.0
110.0,7.0,0.001,0.001,0.001,1.0
78.0,20.0,11.0,13.0,28.0,2.0
172.9,334.0,172.0,812.5,37.7,6.0
292.0,346.0,32.0,313.0,196.0,3.0
290.0,1260.0,231.0,820.0,8.0,6.0
88.5,22.8,108.4,12.0,7.5,3.0
197.0,12.0,6.6,15.0,0.001,1.0
13.0,138.0,83.0,16.0,0.001,4.0
12.0,28.0,102.0,3.0,0.001,4.0
305.0,100.0,33.0,161.0,541.0,2.0
5.0,14.0,234.0,5.0,0.0001,4.0
200.0,700.0,250.0,740.0,1.0,5.0
543.0,120.0,41.0,411.0,1880.0,2.0
220.0,340.0,42.0,480.0,14.0,6.0
15.0,159.0,29.0,87.0,0.001,5.0
1607.0,615.0,80.0,916.0,1294.0,3.0
11.0,13.0,2.0,127.0,0.0001,6.0
3559.0,187.0,22.0,230.0,1140.0,2.0
0.001,0.001,10.0,5.0,35.0,3.0
19.0,62.0,95.0,5.0,0.001,4.0
14.0,62.0,16.0,3.0,0.0001,4.0
820.0,1740.0,951.0,867.0,128.0,4.0
289.0,13.4,18.2,49.8,36.3,2.0
12.4,6.5,15.3,69.0,15.0,3.0
109.0,19.0,5.0,12.0,59.0,2.0
900.0,9180.0,0.0001,900.0,22.0,4.0
980.0,73.0,58.0,12.0,0.001,1.0
4480.0,560.0,380.0,403.0,896.0,1.0
1500.0,395.0,28.0,395.0,323.0,3.0
720.0,7.0,0.001,15.0,101.0,2.0
2031.0,149.0,20.0,3.0,0.0001,1.0
105.0,23.0,13.0,4.0,3.0,1.0
15.0,7.0,92.0,5.0,0.001,4.0
8.0,1.0,0.001,60.0,0.001,6.0
92600.0,10200.0,1.0,2.0,0.0001,1.0
73.0,177.0,37.0,52.0,0.001,5.0
117.0,167.0,48.0,481.0,7.0,6.0
0.001,187.0,609.0,13.0,0.001,4.0
615.0,200.0,42.0,102.0,68.0,3.0
28.0,62.0,16.0,76.0,0.001,6.0
78.0,161.0,86.0,353.0,10.0,6.0
200.0,700.0,250.0,740.0,1.0,5.0
54.0,143.0,23.0,101.0,0.001,5.0
2.0,5.0,81.0,172.0,0.001,5.0
7940.0,2000.0,355.0,3120.0,5390.0,3.0
30.4,117.0,44.2,138.0,0.1,5.0
111.0,67.0,105.0,9.0,0.0001,4.0
5000.0,4000.0,2000.0,2000.0,8000.0,1.0
60.0,40.0,6.9,110.0,70.0,3.0
115.0,25.5,110.0,12.2,8.6,2.0
137.0,33.0,8.0,29.0,111.0,2.0
180.0,175.0,75.0,50.0,4.0,5.0
843.0,133.0,12.0,168.0,385.0,2.0
30.0,51.0,12.0,54.0,0.001,6.0
153.0,18.0,9.0,0.001,11.0,2.0
54.0,143.0,23.0,101.0,0.0001,5.0
100.0,18.0,0.001,0.001,0.001,1.0
210.0,43.0,12.0,102.0,187.0,3.0
234.5,30.28,6.11,47.69,175.88,2.0
19.3,103.0,159.0,19.0,0.6,6.0
111.0,2.8,47.0,0.001,27.5,2.0
6600.0,1000.0,38.0,2.0,19.0,1.0
46.0,21.0,1.0,11.0,93.0,3.0
20000.0,13000.0,1850.0,29000.0,57000.0,3.0
20.0,41.9,20.2,44.2,0.38,5.0
121.0,450.0,146.0,898.0,116.0,6.0
24.7,20.4,117.0,71.0,6.8,4.0
22400.0,22400.0,2690.0,13440.0,1570.0,6.0
20.37,59.79,45.24,80.49,0.0001,5.0
72.0,442.0,221.0,461.0,0.7,5.0
266.0,30.2,4.9,26.2,60.2,2.0
10.0,56.0,72.0,70.0,0.0001,4.0
50.0,3.0,1.0,0.0001,0.0001,4.0
256.0,8.0,37.4,15.0,21.1,2.0
186.0,38.3,13.0,37.0,85.9,2.0
17.0,40.0,11.0,86.0,0.001,6.0
12.0,28.0,102.0,3.0,0.0001,4.0
73.0,177.0,37.0,52.0,0.0001,5.0
88.5,22.8,108.4,12.0,7.5,3.0
161.0,38.0,210.0,13.0,0.0001,4.0
755.0,229.0,32.0,404.0,460.0,3.0
300.0,700.0,280.0,1700.0,36.0,6.0
120.0,31.0,0.0001,66.0,94.0,3.0
34.0,21.0,4.0,49.0,56.0,3.0
1790.0,580.0,321.0,336.0,619.0,2.0
613.0,3240.0,1432.0,2788.0,0.0001,5.0
114.0,41.0,27.0,15.0,42.0,3.0
15.0,139.0,160.0,343.0,0.001,5.0
300.0,490.0,180.0,360.0,95.0,5.0
320.0,131.0,187.0,127.0,0.0001,4.0
10.0,44.0,106.0,28.0,0.001,4.0
183.0,6.0,0.0001,5.0,0.0001,1.0
300.0,490.0,180.0,360.0,95.0,5.0
15.0,139.0,160.0,343.0,0.0001,5.0
0.0001,187.0,609.0,13.0,0.0001,4.0
43.0,28.0,72.0,9.0,0.001,4.0
3420.0,7870.0,1500.0,6990.0,33.0,6.0
35.0,6.0,3.0,26.0,482.0,2.0
6709.0,10500.0,1400.0,17700.0,750.0,6.0
0.0001,43.0,146.0,9.0,0.0001,4.0
179.0,39.3,64.0,654.0,168.0,2.0
1651.0,90.0,33.0,45.0,2.0,1.0
2510.0,202.0,139.0,208.0,1730.0,2.0
1084.0,188.0,8.0,166.0,769.0,3.0
15.0,139.0,160.0,343.0,0.001,5.0
163.0,26.0,7.0,19.0,133.0,2.0
425.0,17424.0,7299.0,37043.0,158.0,6.0
10.0,24.0,80.0,5.0,0.001,4.0
23.0,14151.0,5332.0,23264.0,0.0001,6.0
32930.0,2397.0,157.0,0.001,0.001,1.0
14.0,14.0,124.0,7.0,1.0,4.0
818.0,94.0,49.0,121.0,978.0,2.0
180.85,0.574,0.234,0.188,0.0001,1.0
14.0,15.0,42.0,73.0,0.001,5.0
231.0,3997.0,1726.0,5584.0,0.001,5.0
0.001,3.4,0.001,54.0,0.001,6.0
90.0,313.0,67.0,566.0,10.0,4.0
160.0,130.0,33.0,96.0,0.1,5.0
56.0,286.0,96.0,928.0,7.0,6.0
160.0,130.0,33.0,96.0,0.1,5.0
53.0,189.0,25.0,295.0,5.0,6.0
25.0,49.0,42.0,58.0,0.001,5.0
120.0,31.0,0.001,66.0,94.0,3.0
17.0,42.0,192.0,12.0,20.0,3.0
10.0,15.0,0.001,0.001,35.0,3.0
41.0,112.0,0.0001,254.0,4536.0,1.0
174.0,27.0,6.0,12.0,29.0,2.0
0.001,33.7,136.0,11.4,0.001,4.0
33.0,79.0,30.0,215.0,5.0,6.0
39.4,65.2,103.9,8.1,0.0001,4.0
530.0,345.0,85.0,266.0,21.0,3.0
27.0,90.0,42.0,63.0,0.2,5.0
37.0,96.0,19.0,57.0,0.001,5.0
210.0,22.0,6.0,6.0,7.0,2.0
134.0,13.0,156.0,0.0001,0.0001,1.0
39.0,525.0,538.0,2925.0,16.0,6.0
134.0,13.0,156.0,0.001,0.001,1.0
36.0,94.0,78.0,13.0,2.0,4.0
137.0,6.0,11.4,6.4,16.5,2.0
9340.0,995.0,60.0,6.0,7.0,1.0
407.0,28.0,15.0,21.0,0.0001,1.0
46.9,161.6,94.1,193.6,0.56,5.0
4230.0,690.0,5.0,196.0,1180.0,2.0
111.0,2.8,47.0,0.0001,27.5,2.0
27.0,28.0,136.0,8.0,0.0001,4.0
62.0,425.0,276.0,651.0,26.0,5.0
6870.0,1028.0,79.0,900.0,5500.0,2.0
860.0,1670.0,30.0,2050.0,40.0,6.0
77.0,36.0,27.0,18.0,76.0,3.0
16000.0,3600.0,670.0,14.0,0.001,1.0
2091.0,149.0,20.0,3.0,0.0001,1.0
13.0,3.0,1.0,3.0,6.0,3.0
179.0,29.0,10.0,17.0,33.0,2.0
100.0,200.0,110.0,670.0,11.0,6.0
92600.0,10200.0,0.0001,0.0001,0.0001,1.0
16.0,80.0,134.0,10.0,0.001,4.0
16.0,68.0,124.0,15.0,0.001,4.0
71.0,151.0,9.0,89.0,412.0,3.0
565.0,53.0,34.0,47.0,0.001,2.0
650.0,81.0,170.0,51.0,270.0,2.0
19.0,62.0,95.0,5.0,0.001,4.0
46.0,147.0,27.0,150.0,0.0001,6.0
